iter	RMSE
0	76738.16776
1	75917.59451
2	75070.10167
3	74248.01046
4	73445.66056
5	72672.235
6	71894.46627
7	71109.9976
8	70374.97219
9	69643.61636
10	68948.16891
11	68248.30518
12	67562.44787
13	66840.91697
14	66176.33999
15	65449.4212
16	64793.76841
17	64192.07357
18	63597.65972
19	62980.36481
20	62361.24396
21	61751.78362
22	61146.26296
23	60580.02858
24	60017.41945
25	59485.83327
26	58916.4073
27	58413.53736
28	57860.76528
29	57281.03259
30	56793.95313
31	56310.2517
32	55824.11801
33	55377.58671
34	54905.46738
35	54466.83333
36	53989.41819
37	53477.23397
38	53023.6622
39	52628.72157
40	52206.09598
41	51765.92671
42	51417.90408
43	50990.5462
44	50611.94032
45	50197.10848
46	49819.54118
47	49429.61463
48	49023.47416
49	48655.53201
50	48287.65867
51	47899.37451
52	47512.61554
53	47186.53931
54	46815.51444
55	46472.25323
56	46135.57217
57	45808.95067
58	45463.12153
59	45171.09118
60	44833.60373
61	44504.64796
62	44187.99429
63	43907.12711
64	43530.79321
65	43233.98554
66	42950.88399
67	42683.77534
68	42395.20361
69	42135.25164
70	41766.54805
71	41512.32661
72	41197.4717
73	40917.24461
74	40676.04816
75	40379.07147
76	40112.18333
77	39864.50514
78	39587.73854
79	39310.80035
80	39018.26805
81	38774.4094
82	38503.2893
83	38271.03326
84	38068.84964
85	37859.67054
86	37602.60225
87	37319.72322
88	37105.85744
89	36887.94383
90	36668.93911
91	36485.88726
92	36252.19534
93	36052.67087
94	35854.38783
95	35667.562
96	35427.90834
97	35230.18298
98	35068.42561
99	34866.66799
100	34702.96342
101	34522.04473
102	34322.25953
103	34152.21256
104	33977.83371
105	33797.81608
106	33640.20569
107	33491.43362
108	33292.95621
109	33142.31318
110	32991.6828
111	32786.07182
112	32632.31296
113	32443.458
114	32258.21238
115	32095.3974
116	31973.86151
117	31818.36484
118	31649.26788
119	31531.01424
120	31372.64928
121	31234.85866
122	31086.63634
123	30938.12224
124	30805.24583
125	30647.0755
126	30499.34137
127	30375.43299
128	30279.5562
129	30141.82419
130	30032.14188
131	29934.94665
132	29811.76326
133	29709.19042
134	29602.15552
135	29480.7513
136	29338.14684
137	29231.09062
138	29112.32095
139	28993.80389
140	28879.21212
141	28791.23737
142	28655.80044
143	28583.9187
144	28467.39157
145	28351.01987
146	28264.19242
147	28159.72421
148	28044.90215
149	27917.28058
150	27824.41703
151	27733.41554
152	27647.64343
153	27550.52671
154	27471.6613
155	27383.61982
156	27285.99745
157	27210.80412
158	27142.39891
159	27068.02864
160	26980.69328
161	26934.2661
162	26863.47503
163	26797.74347
164	26747.7514
165	26682.64272
166	26613.3722
167	26555.91637
168	26460.07525
169	26376.03888
170	26312.70049
171	26242.42003
172	26169.20326
173	26119.24445
174	26071.05959
175	26015.40807
176	25962.28058
177	25888.83464
178	25829.97209
179	25734.2323
180	25659.05511
181	25606.3015
182	25555.88268
183	25480.50629
184	25386.78185
185	25305.65612
186	25222.07271
187	25179.20409
188	25119.80257
189	25042.29604
190	24987.12931
191	24933.10979
192	24877.02243
193	24840.19928
194	24784.77584
195	24741.45183
196	24676.31738
197	24619.02976
198	24561.07024
199	24523.61462
200	24449.65353
201	24411.52665
202	24328.72771
203	24255.63789
204	24197.78219
205	24128.56355
206	24089.16543
207	24043.50378
208	23979.80216
209	23925.04265
210	23873.73585
211	23827.53902
212	23788.12726
213	23750.96205
214	23713.71181
215	23660.21385
216	23609.78128
217	23579.45537
218	23540.67057
219	23496.35291
220	23443.52111
221	23398.47271
222	23346.59774
223	23295.06782
224	23246.59746
225	23203.78818
226	23155.00158
227	23105.00045
228	23049.13607
229	23006.08259
230	22964.84183
231	22926.45982
232	22886.50846
233	22844.46069
234	22803.41317
235	22772.78903
236	22748.00417
237	22704.48918
238	22658.46571
239	22629.71958
240	22597.89024
241	22560.44145
242	22520.82063
243	22482.45743
244	22445.86672
245	22424.46778
246	22388.76582
247	22358.37111
248	22331.3358
249	22294.25084
250	22255.12072
251	22220.45894
252	22185.66608
253	22155.44014
254	22116.7987
255	22088.18608
256	22058.77328
257	22029.27603
258	21998.34134
259	21973.09701
260	21936.72378
261	21906.71684
262	21861.60422
263	21826.7513
264	21806.80966
265	21788.61566
266	21764.61222
267	21743.20431
268	21708.52606
269	21679.84417
270	21659.5451
271	21630.00284
272	21595.05151
273	21565.68911
274	21543.22951
275	21509.02984
276	21492.03431
277	21465.5702
278	21419.64602
279	21395.22915
280	21364.12261
281	21345.93441
282	21326.1536
283	21294.54176
284	21274.17167
285	21253.33862
286	21233.18466
287	21211.02736
288	21182.06851
289	21153.50455
290	21123.21248
291	21086.27669
292	21062.61059
293	21042.60248
294	21020.10496
295	20993.95285
296	20977.29165
297	20956.14856
298	20930.83968
299	20895.12746
300	20878.1877
301	20856.43479
302	20839.10964
303	20807.84144
304	20775.04022
305	20755.73754
306	20735.50647
307	20710.44072
308	20681.09299
309	20653.6338
310	20635.84599
311	20616.64435
312	20591.39728
313	20576.84113
314	20544.4345
315	20523.20909
316	20502.63525
317	20485.52471
318	20456.0267
319	20431.35491
320	20415.35154
321	20393.6098
322	20368.34962
323	20355.01308
324	20324.04393
325	20306.18387
326	20287.67183
327	20266.66983
328	20253.32537
329	20236.58088
330	20213.8601
331	20196.04299
332	20176.77887
333	20162.15201
334	20147.5285
335	20133.26862
336	20112.83389
337	20098.055
338	20080.45929
339	20060.73592
340	20035.7953
341	20011.22382
342	19999.3943
343	19985.51483
344	19962.7414
345	19940.05225
346	19922.21234
347	19905.53893
348	19890.98672
349	19868.60471
350	19847.10139
351	19826.2155
352	19811.53855
353	19791.09982
354	19760.13096
355	19742.18477
356	19723.16219
357	19701.00587
358	19681.11494
359	19660.92055
360	19646.09712
361	19611.82768
362	19596.88275
363	19573.8684
364	19550.0476
365	19535.08084
366	19520.73633
367	19507.57407
368	19495.35581
369	19481.15824
370	19463.82058
371	19446.76025
372	19433.96708
373	19422.94135
374	19409.85354
375	19386.4434
376	19360.23997
377	19331.26654
378	19309.94647
379	19291.6568
380	19276.4331
381	19262.47766
382	19247.87727
383	19226.13457
384	19203.48956
385	19182.77987
386	19173.26697
387	19158.87388
388	19142.42482
389	19121.90955
390	19097.36671
391	19076.65241
392	19067.04283
393	19050.17837
394	19032.88188
395	19021.49663
396	18999.13425
397	18977.76542
398	18960.19958
399	18939.54821
400	18914.43895
401	18895.94538
402	18881.79985
403	18865.14997
404	18854.91084
405	18840.99706
406	18834.15406
407	18811.906
408	18795.88026
409	18776.2134
410	18758.32893
411	18744.37152
412	18725.89574
413	18709.27251
414	18686.63232
415	18669.281
416	18654.06095
417	18640.20712
418	18622.59684
419	18597.42994
420	18593.4081
421	18580.3358
422	18565.23475
423	18549.86763
424	18529.23489
425	18509.19743
426	18497.91663
427	18473.7161
428	18456.79052
429	18444.50266
430	18434.3411
431	18418.71025
432	18400.63042
433	18391.54698
434	18380.26828
435	18368.08275
436	18352.80784
437	18330.25913
438	18310.85171
439	18298.26429
440	18280.02723
441	18256.16496
442	18239.90543
443	18220.01549
444	18205.10983
445	18190.64877
446	18177.65776
447	18154.89802
448	18143.61017
449	18134.56339
450	18117.76675
451	18101.41986
452	18082.96629
453	18067.00599
454	18054.12852
455	18041.74081
456	18021.15065
457	18002.42644
458	17988.64576
459	17972.7739
460	17945.13314
461	17925.1678
462	17903.55162
463	17892.69942
464	17872.44045
465	17845.85423
466	17821.36683
467	17803.50175
468	17785.80394
469	17772.23175
470	17750.61632
471	17739.12794
472	17712.77805
473	17703.26743
474	17679.39337
475	17664.99206
476	17647.89354
477	17637.92864
478	17622.60565
479	17610.40835
480	17596.9156
481	17588.66873
482	17574.91719
483	17552.61673
484	17540.03299
485	17528.14125
486	17513.2029
487	17498.75307
488	17484.25775
489	17470.47067
490	17455.31213
491	17442.75142
492	17429.26761
493	17417.26716
494	17399.57533
495	17384.36977
496	17368.53276
497	17352.51459
498	17341.95926
499	17329.84641
500	17319.71903
501	17309.36647
502	17293.81874
503	17284.01846
504	17265.87078
505	17244.37156
506	17232.239
507	17213.112
508	17200.92202
509	17180.69097
510	17161.71942
511	17146.35944
512	17126.10618
513	17104.98068
514	17082.35882
515	17070.99484
516	17055.19359
517	17035.32174
518	17016.41125
519	16996.4941
520	16983.87534
521	16969.79069
522	16956.75781
523	16947.22804
524	16934.74039
525	16914.64922
526	16902.6632
527	16891.91927
528	16875.84609
529	16860.06392
530	16848.66185
531	16840.57481
