iter	Passed	Remaining
0	21	21701
1	22	11243
2	23	7780
3	24	6048
4	25	5001
5	25	4297
6	26	3793
7	27	3413
8	28	3128
9	29	2895
10	30	2712
11	30	2551
12	31	2421
13	32	2303
14	33	2200
15	34	2113
16	35	2041
17	36	1978
18	37	1919
19	38	1866
20	38	1812
21	39	1764
22	40	1721
23	41	1684
24	42	1646
25	43	1615
26	44	1586
27	44	1561
28	45	1534
29	46	1511
30	47	1486
31	48	1464
32	49	1445
33	50	1424
34	51	1406
35	51	1387
36	52	1371
37	53	1356
38	54	1340
39	55	1325
40	56	1313
41	56	1299
42	57	1284
43	58	1273
44	59	1261
45	60	1250
46	61	1239
47	61	1228
48	62	1218
49	63	1210
50	64	1202
51	65	1192
52	66	1184
53	67	1175
54	67	1168
55	68	1162
56	69	1153
57	70	1147
58	71	1141
59	72	1134
60	73	1127
61	74	1121
62	75	1115
63	75	1109
64	76	1106
65	77	1100
66	78	1094
67	79	1088
68	80	1083
69	81	1078
70	82	1073
71	82	1068
72	83	1062
73	84	1057
74	85	1053
75	86	1049
76	87	1045
77	88	1040
78	88	1036
79	89	1032
80	90	1027
81	91	1023
82	92	1020
83	93	1016
84	94	1012
85	94	1008
86	95	1004
87	96	1000
88	97	997
89	98	993
90	99	990
91	99	986
92	100	983
93	101	980
94	102	977
95	103	973
96	104	971
97	105	967
98	105	964
99	106	960
100	107	957
101	108	954
102	109	952
103	110	949
104	111	946
105	111	943
106	112	941
107	113	938
108	114	935
109	115	933
110	116	930
111	117	927
112	117	925
113	118	922
114	119	920
115	120	917
116	121	914
117	122	912
118	122	910
119	123	908
120	124	906
121	125	905
122	126	904
123	127	902
124	128	900
125	129	898
126	130	897
127	131	895
128	132	894
129	133	893
130	134	891
131	135	889
132	136	887
133	137	885
134	138	884
135	139	884
136	140	882
137	140	880
138	141	878
139	142	876
140	143	873
141	144	872
142	145	869
143	146	867
144	146	865
145	147	863
146	148	861
147	149	859
148	150	858
149	151	856
150	151	854
151	152	852
152	153	851
153	154	849
154	155	847
155	156	845
156	157	843
157	158	842
158	158	840
159	159	838
160	160	837
161	161	834
162	162	832
163	162	830
164	163	829
165	164	827
166	165	825
167	166	823
168	167	822
169	168	820
170	168	819
171	169	817
172	170	815
173	171	813
174	172	812
175	173	810
176	173	808
177	174	807
178	175	805
179	176	804
180	177	802
181	178	801
182	179	799
183	179	798
184	180	796
185	181	794
186	182	794
187	183	794
188	185	793
189	186	795
190	187	793
191	188	792
192	189	790
193	189	789
194	190	787
195	191	785
196	192	784
197	193	782
198	194	781
199	194	779
200	195	778
201	196	777
202	197	775
203	198	774
204	199	773
205	200	772
206	201	771
207	202	769
208	203	768
209	203	767
210	204	765
211	205	764
212	206	762
213	207	761
214	208	759
215	208	758
216	209	756
217	210	755
218	211	754
219	212	752
220	213	751
221	214	750
222	215	749
223	215	748
224	216	746
225	217	745
226	218	744
227	219	742
228	220	741
229	221	740
230	221	738
231	222	737
232	223	736
233	224	734
234	225	733
235	226	732
236	227	731
237	227	729
238	228	728
239	229	727
240	230	726
241	231	724
242	232	723
243	233	721
244	233	720
245	234	718
246	235	717
247	236	716
248	237	715
249	237	713
250	238	712
251	239	711
252	240	710
253	241	708
254	242	707
255	242	706
256	243	704
257	244	703
258	245	702
259	246	701
260	247	700
261	248	698
262	248	697
263	249	696
264	250	694
265	251	693
266	252	692
267	253	691
268	253	690
269	254	689
270	255	687
271	256	686
272	257	685
273	258	684
274	259	683
275	260	682
276	260	681
277	261	679
278	262	678
279	263	677
280	264	676
281	265	675
282	266	674
283	266	672
284	267	671
285	268	670
286	269	669
287	270	668
288	271	666
289	271	665
290	272	664
291	273	663
292	274	662
293	275	661
294	276	659
295	277	658
296	277	657
297	278	656
298	279	655
299	280	654
300	281	653
301	282	651
302	282	650
303	283	649
304	284	648
305	285	647
306	286	646
307	287	645
308	288	644
309	288	643
310	289	641
311	290	640
312	291	639
313	292	638
314	293	637
315	294	636
316	294	635
317	295	634
318	296	633
319	297	632
320	298	631
321	299	630
322	300	629
323	301	628
324	302	627
325	302	626
326	303	625
327	304	623
328	305	622
329	306	622
330	307	620
331	308	619
332	308	618
333	309	617
334	310	616
335	311	615
336	312	614
337	313	613
338	314	612
339	314	611
340	315	610
341	316	609
342	317	608
343	318	607
344	319	605
345	319	604
346	320	603
347	321	602
348	322	601
349	323	600
350	324	599
351	325	598
352	325	597
353	326	596
354	327	595
355	328	594
356	329	593
357	330	592
358	331	591
359	331	590
360	332	589
361	333	588
362	334	587
363	335	586
364	336	585
365	337	584
366	338	582
367	338	581
368	339	580
369	340	579
370	341	578
371	342	577
372	343	576
373	343	575
374	344	574
375	345	573
376	346	572
377	347	571
378	348	570
379	349	569
380	349	568
381	350	567
382	351	566
383	352	565
384	353	564
385	354	563
386	354	562
387	355	561
388	356	560
389	357	559
390	358	558
391	359	557
392	360	556
393	360	555
394	361	554
395	362	553
396	363	552
397	364	551
398	365	550
399	365	548
400	366	548
401	367	547
402	368	545
403	369	544
404	370	543
405	371	542
406	371	541
407	372	540
408	373	539
409	374	538
410	375	537
411	375	536
412	376	535
413	377	534
414	378	533
415	379	532
416	380	531
417	380	530
418	381	529
419	382	528
420	383	527
421	384	526
422	385	525
423	386	524
424	386	523
425	387	522
426	388	521
427	389	520
428	390	519
429	391	518
430	392	517
431	392	516
432	393	515
433	394	514
434	395	513
435	396	512
436	397	511
437	397	510
438	398	509
439	399	508
440	400	507
441	401	506
442	402	505
443	403	504
444	403	503
445	404	502
446	405	501
447	406	500
448	407	499
449	408	498
450	408	497
451	409	496
452	410	495
453	411	494
454	412	493
455	413	492
456	414	491
457	414	491
458	415	490
459	416	489
460	417	488
461	418	487
462	419	486
463	420	485
464	420	484
465	421	483
466	422	482
467	423	481
468	424	480
469	425	479
470	426	478
471	427	477
472	428	476
473	428	475
474	429	474
475	430	474
476	431	473
477	432	471
478	433	471
479	433	469
480	434	468
481	435	467
482	436	467
483	437	466
484	438	465
485	438	464
486	439	463
487	440	462
488	441	461
489	442	460
490	443	459
491	443	458
492	444	457
493	445	456
494	446	455
495	447	454
496	448	453
497	449	452
498	449	451
499	450	450
500	451	449
501	452	448
502	453	447
503	454	446
504	454	445
505	455	444
506	456	443
507	457	442
508	458	442
509	459	441
510	460	440
511	461	439
512	461	438
513	462	437
514	463	436
515	464	435
516	465	434
517	466	433
518	467	432
519	467	431
520	468	431
521	469	430
522	470	429
523	471	428
524	472	427
525	473	426
526	473	425
527	474	424
528	475	423
529	476	422
530	477	421
531	478	420
532	478	419
533	479	418
534	480	417
535	481	416
536	482	415
537	483	414
538	483	413
539	484	412
540	485	412
541	486	411
542	487	410
543	488	409
544	489	408
545	489	407
546	490	406
547	491	405
548	492	404
549	493	403
550	494	402
551	495	401
552	495	400
553	496	399
554	497	398
555	498	397
556	499	396
557	500	396
558	500	395
559	501	394
560	502	393
561	503	392
562	504	391
563	505	390
564	506	390
565	507	389
566	508	388
567	509	387
568	510	386
569	511	385
570	511	384
571	512	383
572	513	382
573	514	381
574	515	380
575	516	379
576	517	379
577	517	378
578	518	377
579	519	376
580	520	375
581	521	374
582	522	373
583	523	372
584	523	371
585	524	370
586	525	369
587	526	368
588	527	367
589	528	366
590	528	366
591	529	365
592	530	364
593	531	363
594	532	362
595	533	361
596	534	360
597	535	359
598	535	358
599	536	357
600	537	356
601	538	356
602	539	355
603	540	354
604	541	353
605	542	352
606	543	351
607	543	350
608	544	349
609	545	348
610	546	347
611	547	346
612	548	346
613	548	345
614	549	344
615	550	343
616	551	342
617	552	341
618	553	340
619	553	339
620	554	338
621	555	337
622	556	336
623	557	335
624	558	334
625	558	333
626	559	333
627	560	332
628	561	331
629	562	330
630	563	329
631	564	328
632	564	327
633	565	326
634	566	325
635	567	324
636	568	323
637	569	323
638	570	322
639	570	321
640	571	320
641	572	319
642	573	318
643	574	317
644	575	316
645	575	315
646	576	314
